Season,POS,Player,Team,Wkts,Mat,Inns,Ov,Runs,BBI,Avg,Econ,SR,4w,5w
2008,50,Brett Lee,Kings XI Punjab,4,4,4,16,112,15-Mar,28,7,24,0,0
2008,51,Sanath Jayasuriya,Mumbai Indians,4,14,8,21,159,14-Mar,39.75,7.57,31.5,0,0
2008,52,Sanjay Bangar,Deccan Chargers,4,11,9,25,219,Feb-34,54.75,8.76,37.5,0,0
2008,53,Jacques Kallis,Royal Challengers Bangalore,4,11,11,34,311,13-Mar,77.75,9.05,51.5,0,0
2008,54,Paidikalva Vijaykumar,Deccan Chargers,4,9,9,25,199,17-Jan,49.75,7.85,38,0,0
2008,55,Scott Styris,Deccan Chargers,3,8,8,27,199,Mar-32,66.33,7.37,54,0,0
2008,56,Virender Sehwag,Delhi Daredevils,3,14,7,11,133,18-Feb,44.33,12.09,22,0,0
2008,57,Yuvraj Singh,Kings XI Punjab,3,15,6,9,83,29-Apr,27.66,9.22,18,0,0
2008,58,Murali Kartik,Kolkata Knight Riders,3,6,5,14,127,17-Mar,42.33,8.65,29.33,0,0
2008,59,Ramesh Powar,Kings XI Punjab,3,5,5,12,91,11-Feb,30.33,7.58,24,0,0
2008,60,Jacob Oram,Chennai Super Kings,3,4,4,16,149,Mar-32,49.66,9.31,32,0,0
2008,61,Gajendra Singh,Rajasthan Royals,3,4,4,14,141,Jan-33,47,10.07,28,0,0
2008,62,DoMumbai Indiansnic Thornely,Mumbai Indians,3,6,4,7,40,7-Feb,13.33,5.71,14,0,0
2008,63,David Hussey,Kolkata Knight Riders,2,13,5,13,130,26-Feb,65,10,39,0,0
2008,64,Daniel Vettori,Delhi Daredevils,2,2,2,8,54,15-Mar,27,6.75,24,0,0
2008,65,Venugopal Rao,Deccan Chargers,2,11,7,14,137,23-Feb,68.5,9.78,42,0,0
2008,66,DiMumbai Indianstri Mascarenhas,Rajasthan Royals,2,11,4,29,145,25-May,14.5,7.25,12,0,0
2008,67,Virat Kohli,Royal Challengers Bangalore,2,13,4,7,61,25-Feb,30.5,7.95,23,0,0
2008,68,Doddapaneni Kalyankrishna,Deccan Chargers,2,3,3,8,87,30-Jan,43.5,10.87,24,0,0
2008,69,Siddharth Chitnis,Mumbai Indians,2,3,2,6,60,Feb-40,30,10,18,0,0
2008,70,Shoaib Malik,Delhi Daredevils,2,7,5,8,85,Jan-64,42.5,10,25.5,0,0
2008,71,Balachandra Akhil,Royal Challengers Bangalore,2,7,6,17,134,17-Feb,67,7.73,52,0,0
2008,72,Musavir Khote,Mumbai Indians,2,4,2,5,51,Feb-29,25.5,10.2,15,0,0
2008,73,Nuwan Zoysa,Deccan Chargers,2,3,3,11,99,30-Jan,49.5,9,33,0,0
2008,74,Ashley Noffke,Royal Challengers Bangalore,1,11,1,4,40,Jan-40,40,10,24,0,0
